root@comp3134-intro-to-cyber-security:~# tcpdump -i eth0 tcp

 220
03:12:38.571636 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1998544:1998764, ack 1081, win 501, length 220
03:12:38.579591 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2028388:2028608, ack 1117, win 501, length 220
03:12:38.579664 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2028608:2028828, ack 1117, win 501, length 220
03:12:38.579724 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2028828:2029048, ack 1117, win 501, length 220
03:12:38.579778 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2029048:2029268, ack 1117, win 501, length 220
03:12:38.579834 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2029268:2029488, ack 1117, win 501, length 220
03:12:38.579889 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2029488:2029708, ack 1117, win 501, length 220
03:12:38.579942 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2029708:2029928, ack 1117, win 501, length 220
03:12:38.580006 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 2012924, win 1026, length 0
03:12:38.580036 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2029928:2030148, ack 1117, win 501, length 220
03:12:38.580110 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2030148:2030536, ack 1117, win 501, length 388
03:12:38.580172 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2030536:2030756, ack 1117, win 501, length 220
03:12:38.580226 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2030756:2030976, ack 1117, win 501, length 220
03:12:38.580287 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2030976:2031196, ack 1117, win 501, length 220
03:12:38.580348 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2031196:2031416, ack 1117, win 501, length 220
03:12:38.580411 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2031416:2031636, ack 1117, win 501, length 220
03:12:38.580465 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2031636:2031856, ack 1117, win 501, length 220
03:12:38.580527 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2031856:2032076, ack 1117, win 501, length 220
03:12:38.580592 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2032076:2032296, ack 1117, win 501, length 220
03:12:38.580647 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2032296:2032516, ack 1117, win 501, length 220
03:12:38.580703 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2032516:2032736, ack 1117, win 501, length 220
03:12:38.580766 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2032736:2032956, ack 1117, win 501, length 220
03:12:38.580823 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2032956:2033176, ack 1117, win 501, length 220
03:12:38.580886 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2033176:2033396, ack 1117, win 501, length 220
03:12:38.580943 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2033396:2033616, ack 1117, win 501, length 220
03:12:38.580996 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2033616:2033836, ack 1117, win 501, length 220
03:12:38.581055 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2033836:2034056, ack 1117, win 501, length 220
03:12:38.581113 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2034056:2034276, ack 1117, win 501, length 220
03:12:38.581170 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2034276:2034496, ack 1117, win 501, length 220
